Excitation Wavelength (nm),Par Avg,Perp Avg,Perp Corrected,Anisotropy,Relative Energy (eV)
450,251376.73575701244,290352.2058421967,254363.84507857656,-0.003929867028430425,0.6286258814560699
451,253826.55242590595,293560.3978392958,257659.08462600422,-0.0049828492507073005,0.622516002175459
452,253153.3853783081,292248.490204743,258575.524550532,-0.007038956196440137,0.6164331577589213
453,253330.60580680106,293517.8788077621,259035.27514845997,-0.007395204552807118,0.6103771691676227
454,255059.1471578031,293778.45961024327,259488.9621253597,-0.005723001043729918,0.6043478589401619
455,254453.80519081152,293535.93727351667,263308.9152236967,-0.011337129181051044,0.5983450511752397
456,253620.56140520482,291919.42790698924,257741.27929999598,-0.005357822361666296,0.5923685715145495
457,251206.07921512576,289625.2319886499,254564.102529792,-0.004416509138305511,0.5864182471258972
458,251409.95778227996,289324.24427429464,255618.60682196458,-0.005518474593977869,0.5804939066865407
459,254206.27357395113,292207.5495369963,260535.0447944353,-0.008163245419562743,0.5745953803667452
460,253510.39217122193,292887.53997249727,257870.27942857132,-0.00566770473474348,0.5687224998135578
461,251623.22398835706,290372.68931433273,256558.5145766967,-0.006453551474587871,0.5628750981347879
462,248382.4995902291,286454.2864542864,253218.39463253607,-0.006406692454349848,0.5570530098831985
463,246335.29085332018,284917.3389924565,252134.52075478376,-0.007726081040869718,0.5512560710409034
464,250463.44106585067,288677.24867724866,255820.19637930885,-0.007028904823344556,0.5454841190039628
465,252007.0481206105,290534.23757099616,257801.13714285195,-0.007548226491150523,0.5397369925671809
466,250161.52119722648,286909.3185499097,254515.27757546055,-0.005734723153561396,0.5340145319090981
467,241451.84128322365,277385.7777489542,245215.9320173715,-0.005143017540624896,0.528316578577174
468,239938.85337754956,275857.3574221439,243855.30147591105,-0.005382328076101394,0.5226429754731639
469,247280.05387784922,284703.1955795063,253235.56698252316,-0.00790116579678976,0.5169935668386807
470,248026.11169654812,286474.23292666586,253616.53388388795,-0.007401991712705702,0.5113681982409397
471,249476.3782679549,287688.49736704136,254496.68873364062,-0.006618998882584587,0.5057667165586883
472,249171.82583850573,286365.3947971254,254581.84506810998,-0.007134070758443232,0.5001889699683111
473,243227.08979471275,279106.2066164525,247673.31502845403,-0.006020015489631183,0.4946348079301126
474,243883.5135371434,281643.7404676556,247248.08467766846,-0.0045566951779400615,0.489104081174776
475,243043.7130210181,281331.6066383729,249707.8697870773,-0.008975785469180148,0.48359664168998817
476,239687.06600692318,276984.19043727254,246292.57964828238,-0.009020571056920208,0.4781123427072371
477,237759.31984839996,273548.9235552502,241714.1555686125,-0.005483781959498661,0.47265103868877434
478,232116.80159274902,269643.0708903606,237919.50053138132,-0.008196414121992677,0.4672125853147402
479,228135.25808176296,263042.9782823621,232575.46432910336,-0.006404579136675887,0.4617968394704519
480,221800.82187209226,256560.69437727492,231391.66701463296,-0.014009738700295952,0.45640365923384785
481,215665.55314556515,248780.93187467344,220378.5378173765,-0.007179802257226285,0.45103290386309247
482,213763.5140393013,246702.3567877836,217698.08811672503,-0.006061026487597477,0.445684433784332
483,209980.32623982755,241856.35884511154,213709.56498409557,-0.005850709014491162,0.4403581105796035
484,204855.7720413793,237071.69047920094,210201.79404229642,-0.008550087118791863,0.43505379697489444
485,201694.10305959507,233305.32105343236,207390.62037839115,-0.00924046253582663,0.4297713568283492
486,197375.06908297812,227765.65275820735,202303.95627625362,-0.008187751719964826,0.4245106551186213
487,191912.04698727073,222157.230822247,195691.14786375297,-0.00647889170138954,0.41927155793336857
488,187506.5559340895,215881.3987816984,192480.5408060845,-0.008688674338543844,0.41405393245789135
489,182270.15031994288,210548.2346146247,186022.7690641048,-0.0067698223636203465,0.4088576469639089
490,177934.3750189922,204129.97368437043,181119.64346219235,-0.005896748893199549,0.4036825707984737
491,170624.89029313673,196673.6879059154,174498.733129749,-0.007455111943821562,0.3985285743730196
492,163740.3666202472,187766.12608707868,166238.09634363954,-0.005033547705215531,0.39339552915254705
493,159721.04647881645,183875.51900673198,162304.97375765,-0.005335044238083471,0.3882833076449361
494,155647.28775893236,179169.97708614,157864.89209821355,-0.004704523132790806,0.38319178339039306
495,152177.1483978623,175001.6912079735,154683.25829625974,-0.005429843563012965,0.37812083095101956
496,146409.08767402207,168470.70982754833,148578.64771508056,-0.004891173280254898,0.37307032590051437
497,141450.13727294895,162619.27799935493,143055.70278794205,-0.0037551682134348424,0.36804014481399516
498,136216.31045495247,156807.6456743456,138330.18264820878,-0.005119863429944048,0.36303016525794396
